,id,loc,correct_location
294,1.4043701282596495e+18,"Saint-Avold, France","Saint-Avold, France"
295,1.405896451432108e+18,"Somewhere, France",", France"
296,1.4072447148107407e+18,France,France
297,1.4079828041646612e+18,Paris,Paris
298,1.4080842926815437e+18,"Grenoble, France","Grenoble, France"
299,1.4094950692379525e+18,"Montréal, Québec","Montréal, Québec"
300,1.4098320992013025e+18,"Montréal, Québec","Montréal, Québec"
301,1.409847837379158e+18,"Montréal, Québec","Montréal, Québec"
302,1.4098589670404137e+18,"Montréal, Québec","Montréal, Québec"
303,1.4105812469970412e+18,"Montréal, Québec","Montréal, Québec"
304,1.4113183275788698e+18,"Montréal, Québec","Montréal, Québec"
305,1.411329564396208e+18,"Montréal, Québec","Montréal, Québec"
306,1.411413707926741e+18,"Montréal, Québec","Montréal, Québec"
307,1.41310011971353e+18,"Paris, France","Paris, France"
308,1.413523536052953e+18,"Montréal, Québec","Montréal, Québec"
309,1.4146019462673654e+18,"Montréal, Québec","Montréal, Québec"
310,1.414936933583704e+18,"Montréal, Québec","Montréal, Québec"
311,1.4152357098044252e+18,France,France
312,1.415236206988759e+18,France,France
313,1.4175027067055022e+18,"Montréal, Québec","Montréal, Québec"
314,1.4182248984559944e+18,"Montréal, Québec","Montréal, Québec"
315,1.4182284053178163e+18,"Montréal, Québec","Montréal, Québec"
316,1.4185918534699663e+18,"Montréal, Québec","Montréal, Québec"
317,1.419652338118234e+18,Montréal,Montréal
318,1.4199497410020844e+18,"Grenoble, France","Grenoble, France"
319,1.4204302586422477e+18,"ï¿½T: 38.283861,-85.683812","ï¿½T: 38.283861,-85.683812"
320,1.4276302068488028e+18,"Nice, France","North Carolina, United States of America, France"
321,1.4282731170221138e+18,France,France
322,1.4283792764795372e+18,Sudiste en Heulaland 🇨🇵,Sudiste en Heulaland 🇨🇵
323,1.4308086804806124e+18,"Marseille, France","Marseille, France"
324,1.4309116243495035e+18,"Montréal, Québec","Montréal, Québec"
325,1.4309134405168783e+18,"Montréal, Québec","Montréal, Québec"
326,1.4309162941241344e+18,"Montréal, Québec","Montréal, Québec"
327,1.4311686550778798e+18,France,France
328,1.4312391746240553e+18,"Saint-Herblain, France","Saint-Herblain, France"
329,1.4312410846428856e+18,Meaux,Meaux
330,1.4324547682833285e+18,🇨🇵🇷🇴,🇨🇵🇷🇴
331,1.4330607843855032e+18,Gironde,Gironde
332,1.433809154028753e+18,"Montréal, Québec","Montréal, Québec"
333,1.4338244268989932e+18,Southeast,Southeast
334,1.4403557757386138e+18,"EVERYONE, EVERYWHERE","EVERYONE, "
335,1.4405838408257004e+18,Saint-Sébastien-sur-Loire,Saint-Sébastien-sur-Loire
336,1.440641412547027e+18,Quelque part,Quelque part
337,1.4413369978895442e+18,🇨🇵 🇷🇴,🇨🇵 🇷🇴
338,1.4423924472338432e+18,"Paris, France","Paris, France"
339,1.4431574441007557e+18,Brussels,Brussels
340,1.4435124985320653e+18,"Grenoble, France","Grenoble, France"
341,1.4438522961237893e+18,France,France
342,1.4439025538010767e+18,🇨🇵 🇷🇴 ,🇨🇵 🇷🇴 
343,1.4439391280313016e+18,🇨🇵 🇷🇴 ,🇨🇵 🇷🇴 
344,1.445309838918144e+18,"Paris, France","Paris, France"
345,1.445663858450862e+18,"Rennes, France","Rennes, France"
346,1.4456830338775368e+18,"Grenoble, France","Grenoble, France"
347,1.4474750619974246e+18,"Grenoble, France","Grenoble, France"
348,1.4474946975980012e+18,Saint-Denis (93),Saint-Denis (93)
